what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464767662597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464767664156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464767672893
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464767693760
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464767712332
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464767715350
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464767716774
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464767725214
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464767738381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1464767743003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464767744285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464768882821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1464768904510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464768914013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464768934949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464768937803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464768953596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1464768958032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1464768960264
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464768962005
